category,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mel1,mel2,mel3,mel4,mel5,mel6,mel7,mel8,mel9,mel10,cent1,cent2,cent3,cent4,cent5,cent6,cent7,cent8,cent9,cent10,cont1,cont2,cont3,cont4,cont5,cont6,cont7,tempo1,tempo2,tempo3,tempo4,tempo5,tempo6,tempo7,tempo8,tempo9,tempo10
dreamy,-9.157669,29.6551,8.685628,2.7528353,-2.9933724,8.211896,10.937923,-0.78747314,-0.058605634,-2.4324586,29.236862,2.2439616,-6.1740355,-11.70553,-11.252623,-13.092404,-13.649908,-13.673389,-13.684605,-13.684778,0.14209400320033863,0.14236704868241776,0.13100620294253312,0.1333413778016441,0.1322572922053933,0.1397247097935827,0.13628288135206215,0.1410740876279859,0.26529050139566057,0.5399484372785756,13.650719541262232,10.278942223197154,21.337003834928538,21.62867097249175,22.606922286441428,24.766424546610722,40.796981028818074,23.717358,11.942888,6.989894,4.1018076,2.698666,1.7027086,1.4892964,1.0385995,1.0865678,0.78644276
dreamy,28.489195,19.274431,14.5549555,5.3836246,2.5321321,4.187542,3.5005815,-1.0620902,-5.956087,-2.3341124,31.237415,13.709148,6.6089745,2.7065299,-0.07632157,-2.2291124,-2.6822834,-2.0251343,-1.7506723,-3.1031044,0.3128091297996025,0.3737021621963632,0.4867988961251715,0.3750744323706811,0.4260467989240998,0.4337324355097295,0.4691710230487786,0.4173074393017096,0.39754736917728367,0.46395841168712293,13.712232261055755,9.227391562487599,15.712865052444904,19.176909879176485,20.785364630167535,20.58408889062484,45.796683207461065,18.174013,7.419086,4.240259,2.3715267,1.5747497,0.93378043,0.6509871,0.45148715,0.43360847,0.34874833
dreamy,-145.81898,31.161428,-39.063187,-10.337057,-13.649166,-20.673813,-6.1429486,-8.173297,-9.808282,-12.800707,-19.776442,-24.299143,-35.85722,-39.42936,-39.28227,-38.636036,-37.043327,-37.968884,-38.70362,-39.400536,0.6342303190994132,0.13937047684640722,0.4144982180732347,0.26876867238693164,0.2053277027242495,0.3382454547901453,0.12279799399158034,0.31063929447328914,0.31474858670113115,0.5993862084382904,12.168218134354385,21.985565287282263,25.207524827532577,28.152927877464546,22.908914591088905,29.390216241058965,44.26810738286507,9.843181,2.2868633,1.7525295,1.2958089,0.8872209,0.70970297,0.6148828,0.56990814,0.5865059,0.5008742
dreamy,-164.32161,4.584675,-23.766987,-40.29617,-15.739169,-8.024219,11.127296,6.029472,-3.575137,5.343239,-19.94356,-20.068493,-28.10083,-27.411825,-28.187168,-28.251799,-28.255308,-28.255308,-28.255308,-28.255308,0.08610251394242467,0.279666999258357,0.2875305601902102,0.11538358162616044,0.07637481340283105,0.117080186306683,0.4558758063370841,0.2827500425606322,0.14008968939039912,0.08315603899067277,12.396454777781637,14.379586807384369,25.857646015235613,25.84380880687858,29.761387741035456,30.462586801463903,36.70747451329338,10.450873,2.1791782,1.9552474,1.4046664,0.9067246,0.5857433,0.561772,0.46469676,0.45348215,0.43596938
dreamy,31.418621,6.910253,3.355477,5.557866,0.15919429,-2.2585251,8.751145,10.831614,2.9195006,-2.1309807,32.076416,17.352642,5.7137375,-2.288809,-4.8161225,-5.419853,-5.7682033,-6.3758955,-6.805135,-7.378911,0.29641313758688903,0.16275568522034642,0.10266541291027585,0.16051024693033553,0.08963755027329762,0.1924240488114485,0.2834579357233024,0.08752953743550891,0.1987194230214434,0.19886838025159137,20.33912210781623,12.19870563914468,15.436882813187571,18.17392166267327,16.90869898523951,17.42758486805582,45.733078599611495,21.957716,11.269018,7.2438006,3.6265473,2.349055,1.7407432,1.3745807,0.9984873,0.7334863,0.52271885
dreamy,14.250719,12.094319,1.3314773,0.49424753,-3.324719,2.4742718,-0.9065777,-1.998646,-0.20063895,0.90267545,27.887352,11.178835,-1.4235041,-6.1063566,-7.140931,-7.721329,-9.139176,-9.002397,-9.326102,-9.4785,0.3273712193975857,0.2732200515561562,0.2269648467523097,0.2848521985745979,0.1967673276378376,0.24487660033339778,0.22466624836479113,0.09174170773003984,0.0790830558409249,0.15896913193099702,10.881228340043995,10.82096857420157,17.25302163508739,20.478130450007917,18.124840514646237,20.62485604150491,44.07462139828543,14.130793,5.101889,4.093327,2.53979,1.5189922,1.0181421,0.7141418,0.61796886,0.47513264,0.42569688
dreamy,28.98013,23.452532,7.385417,5.7689753,1.7022561,10.603173,0.80500025,0.305284,2.018637,3.7329714,33.961468,16.191103,4.4862504,0.5658884,-0.82607263,-1.1580577,-1.7608707,-1.414965,-1.697558,-1.955534,0.3934476103640234,0.27333454357804476,0.19101590778369817,0.2962585435140578,0.27303568461491123,0.28175204677567384,0.37860517825830775,0.23819150995797775,0.29616881422123603,0.4218061955910175,13.235295647063271,10.236156430269265,15.476161877742369,19.430095738804695,18.374229527151204,18.15610558899695,46.642289788030205,18.113237,9.265592,7.2956033,4.2854013,2.5533063,1.5479492,1.1381398,0.8850055,0.6874822,0.5142947
dreamy,48.600876,10.646021,6.1140704,5.4171414,2.993781,7.938516,0.025418663,0.7576809,2.999981,1.584986,34.197617,21.66609,13.698253,6.5429688,1.4444411,0.19678088,-1.6622517,-1.389352,-2.6605265,-3.3971732,0.586836470473271,0.5093555472601606,0.5091996365514287,0.5080432734928761,0.4970225720380067,0.48628747209733875,0.49936708321502127,0.5222110764679314,0.4747151193171532,0.202846819011148,13.996567264279708,9.32200605775432,13.676834848422846,17.43825262799752,16.979365315508723,16.285340173946558,43.6076019708602,15.07577,6.1724687,5.198986,2.8447561,1.6196322,0.8800366,0.67575,0.48986968,0.3712964,0.33009318
dreamy,39.94824,7.692059,-1.2123578,-3.0018494,-4.6897717,2.862347,-2.1950076,0.57390326,-0.7346261,-3.0674124,31.59603,20.982494,8.460302,1.6376193,-1.5299346,-1.7622637,-4.177095,-3.0036118,-2.6451283,-5.0381465,0.5235656159133962,0.5789982072540965,0.5817862764843161,0.49028067151445703,0.5118939967981672,0.3731062708061285,0.4945845484104559,0.14893926280827294,0.083607985781505,0.14991578482478934,11.62753713373834,9.960263413961687,16.109071084909516,18.584269422589216,17.49989597878139,17.64962447671323,44.94228716044723,12.683221,3.9071698,2.8696806,1.9587237,1.0389153,0.77579176,0.5455464,0.42107165,0.34680185,0.29648983
dreamy,-70.01013,16.386873,-8.819789,-23.055483,-20.208761,-5.3988585,-10.856783,-19.222406,-10.790362,-3.731641,9.20116,-5.3229647,-14.176193,-14.176282,-14.1391535,-14.305179,-14.494568,-14.497882,-14.524888,-14.532078,0.0976972664825932,0.03315020651906567,0.047511884065167785,0.05021727203433216,0.030178117117813128,0.08520281781940574,0.048379400175318846,0.05669972670855065,0.12553193256602227,0.32863920112736983,22.10065944955929,12.726750754428737,21.7173055930134,22.35666015537866,16.40715760565864,17.74173395467385,38.67700530335667,9.892465,2.7198663,2.1567192,1.4440515,1.0582485,0.7273153,0.6100486,0.51728815,0.44219065,0.3990261
